Algoritmo,TamanhoVetor,Rodada,TempoExecucaoMs,Trocas,Iteracoes
InsertionSort,1000,1,2.0207,249658,250657
QuickSort,1000,1,0.6705,5533,11169
MergeSort,1000,1,0.5511,4328,10712
CountingSort,1000,1,0.1863,1000,2000
InsertionSort,1000,2,1.0287,241722,242721
QuickSort,1000,2,0.1149,6607,12605
MergeSort,1000,2,0.1676,4308,10725
CountingSort,1000,2,0.1868,1000,2000
InsertionSort,1000,3,1.0165,251682,252681
QuickSort,1000,3,0.1333,5123,12279
MergeSort,1000,3,0.1471,4358,10677
CountingSort,1000,3,0.2477,1000,2000
InsertionSort,1000,4,8.0325,247697,248696
QuickSort,1000,4,0.0983,6073,13460
MergeSort,1000,4,1.1186,4318,10714
CountingSort,1000,4,0.2085,1000,2000
InsertionSort,1000,5,1.5172,249468,250467
QuickSort,1000,5,0.0969,6215,13294
MergeSort,1000,5,0.471,4302,10721
CountingSort,1000,5,0.1899,1000,2000
InsertionSort,10000,1,51.5289,24764011,24774010
QuickSort,10000,1,0.665,84911,165628
MergeSort,10000,1,4.4819,59271,140454
CountingSort,10000,1,1.7449,10000,20000
InsertionSort,10000,2,9.2054,24789135,24799134
QuickSort,10000,2,0.8385,90435,171422
MergeSort,10000,2,4.1994,59177,140383
CountingSort,10000,2,1.423,10000,20000
InsertionSort,10000,3,15.9896,24862154,24872153
QuickSort,10000,3,0.729,84754,166940
MergeSort,10000,3,2.8949,59250,140464
CountingSort,10000,3,1.4144,10000,20000
InsertionSort,10000,4,11.2843,24966261,24976260
QuickSort,10000,4,0.6313,80526,170676
MergeSort,10000,4,1.592,59077,140507
CountingSort,10000,4,0.4078,10000,20000
InsertionSort,10000,5,11.2899,25061011,25071010
QuickSort,10000,5,0.6556,86870,170869
MergeSort,10000,5,1.1233,59225,140491
CountingSort,10000,5,0.3791,10000,20000
QuickSort,100000,1,7.8088,1103656,2098352
MergeSort,100000,1,16.2031,759854,1736458
CountingSort,100000,1,6.4732,100000,200000
QuickSort,100000,2,7.4174,1027430,2058591
MergeSort,100000,2,18.3664,760132,1736166
CountingSort,100000,2,2.0246,100000,200000
QuickSort,100000,3,7.6235,1021982,2054657
MergeSort,100000,3,12.5386,759787,1735995
CountingSort,100000,3,3.7333,100000,200000
QuickSort,100000,4,8.0071,1059958,2176487
MergeSort,100000,4,17.5128,759643,1736318
CountingSort,100000,4,7.7243,100000,200000
QuickSort,100000,5,12.6834,1054373,2143552
MergeSort,100000,5,20.859,759661,1736582
CountingSort,100000,5,6.6466,100000,200000
QuickSort,500000,1,50.404,5646060,11730679
MergeSort,500000,1,80.9598,4390612,9837500
CountingSort,500000,1,31.1813,500000,1000000
QuickSort,500000,2,52.5212,6185300,12827895
MergeSort,500000,2,81.5168,4390165,9837119
CountingSort,500000,2,24.1242,500000,1000000
QuickSort,500000,3,46.6279,6027047,12056527
MergeSort,500000,3,67.1334,4389232,9837190
CountingSort,500000,3,22.644,500000,1000000
QuickSort,500000,4,46.5852,5918490,12541751
MergeSort,500000,4,67.2296,4389562,9836866
CountingSort,500000,4,24.1587,500000,1000000
QuickSort,500000,5,49.2846,5884276,12132767
MergeSort,500000,5,69.2211,4389674,9837155
CountingSort,500000,5,19.472,500000,1000000
QuickSort,1000000,1,97.0117,13502840,25592259
MergeSort,1000000,1,137.3926,9278770,20674322
CountingSort,1000000,1,42.9216,1000000,2000000
QuickSort,1000000,2,95.1324,12760758,25566340
MergeSort,1000000,2,128.1765,9279747,20674730
CountingSort,1000000,2,41.7707,1000000,2000000
QuickSort,1000000,3,90.6828,12373018,26167949
MergeSort,1000000,3,140.4624,9278891,20674915
CountingSort,1000000,3,57.6863,1000000,2000000
QuickSort,1000000,4,107.6764,12774515,25873475
MergeSort,1000000,4,140.5746,9279352,20674610
CountingSort,1000000,4,52.7837,1000000,2000000
QuickSort,1000000,5,93.5526,12727087,25758345
MergeSort,1000000,5,130.5629,9277914,20673480
CountingSort,1000000,5,43.0045,1000000,2000000
